DateTime,Open,High ,Low ,Close,States,MACD,SIGNAL,UP 2 sigma,MID 2 sigma,LOW 2 sigma,Up 3 sigma,MID 3 SIGMA,LOW 3 sigma,,
2/20/2018 7:01,158.1699982,158.1999969,158.1699982,158.1799927,2,0,0,nan,nan,nan,nan,nan,nan,,
2/20/2018 7:02,158.1799927,158.1900024,158.1300049,158.1399994,1,0,0,nan,nan,nan,nan,nan,nan,,
2/20/2018 7:03,158.1399994,158.1399994,158.1199951,158.1300049,1,0,0,nan,nan,nan,nan,nan,nan,,
2/20/2018 7:04,158.1300049,158.1399994,158.1100006,158.1199951,1,0,0,nan,nan,nan,nan,nan,nan,,
2/20/2018 7:05,158.1300049,158.1399994,158.1199951,158.1300049,1,0,0,nan,nan,nan,nan,nan,nan,,
2/20/2018 7:06,158.1399994,158.1399994,158.1300049,158.1399994,1,0,0,nan,nan,nan,nan,nan,nan,,
2/20/2018 7:07,158.1300049,158.1300049,158.1100006,158.1199951,1,0,0,nan,nan,nan,nan,nan,nan,,
2/20/2018 7:08,158.1199951,158.1199951,158.1100006,158.1199951,1,0,0,nan,nan,nan,nan,nan,nan,,
2/20/2018 7:09,158.1199951,158.1199951,158.1000061,158.1000061,1,0,0,nan,nan,nan,nan,nan,nan,,
2/20/2018 7:10,158.1000061,158.1000061,158.0800018,158.0899963,1,0,0,158.1735151,158.1269989,158.0804827,158.1967732,158.1269989,158.0572246,,
2/20/2018 7:11,158.0899963,158.1100006,158.0899963,158.1100006,2,0,0,158.1509843,158.1199997,158.0890151,158.1664766,158.1199997,158.0735228,,
2/20/2018 7:12,158.1100006,158.1199951,158.1100006,158.1100006,2,0,0,158.1453555,158.1169998,158.0886441,158.1595333,158.1169998,158.0744663,,
2/20/2018 7:13,158.1100006,158.1300049,158.1100006,158.1300049,3,0,0,158.1453555,158.1169998,158.0886441,158.1595333,158.1169998,158.0744663,,
2/20/2018 7:14,158.1199951,158.1199951,158.0899963,158.0899963,2,0,0,158.1464982,158.1139999,158.0815017,158.1627473,158.1139999,158.0652526,,
2/20/2018 7:15,158.1000061,158.1000061,158.0800018,158.0899963,2,0,0,158.1434672,158.1099991,158.076531,158.1602012,158.1099991,158.059797,,
2/20/2018 7:16,158.1000061,158.1000061,158.0899963,158.0899963,2,0,0,158.1336368,158.1049988,158.0763607,158.1479558,158.1049988,158.0620417,,
2/20/2018 7:17,158.1000061,158.1000061,158.0899963,158.0899963,2,0,0,158.1300027,158.1019989,158.0739951,158.1440046,158.1019989,158.0599932,,
2/20/2018 7:18,158.1000061,158.1100006,158.1000061,158.1000061,3,0,0,158.1253036,158.1,158.0746964,158.1379554,158.1,158.0620446,,
2/20/2018 7:19,158.1100006,158.1100006,158.0800018,158.0800018,1,0,0,158.1260038,158.0979996,158.0699953,158.1400059,158.0979996,158.0559932,,
2/20/2018 7:20,158.0899963,158.1000061,158.0899963,158.0899963,2,0,0,158.1260038,158.0979996,158.0699953,158.1400059,158.0979996,158.0559932,,
2/20/2018 7:21,158.1000061,158.1000061,158.0899963,158.0899963,2,0,0,158.1231329,158.0959991,158.0688654,158.1366998,158.0959991,158.0552985,,
2/20/2018 7:22,158.0899963,158.1000061,158.0899963,158.0899963,2,0,0,158.1196157,158.0939987,158.0683817,158.1324242,158.0939987,158.0555732,,
2/20/2018 7:23,158.1000061,158.1300049,158.1000061,158.1300049,5,0,0,158.1196157,158.0939987,158.0683817,158.1324242,158.0939987,158.0555732,,
2/20/2018 7:24,158.1300049,158.1399994,158.1300049,158.1300049,5,0,0,158.1312317,158.0979996,158.0647674,158.1478478,158.0979996,158.0481514,,
2/20/2018 7:25,158.1399994,158.1399994,158.1300049,158.1399994,5,0,0,158.1440405,158.1029999,158.0619592,158.1645609,158.1029999,158.0414389,,
2/20/2018 7:26,158.1300049,158.1300049,158.0899963,158.0899963,2,-0.003741218,0,158.1440405,158.1029999,158.0619592,158.1645609,158.1029999,158.0414389,,
2/20/2018 7:27,158.0899963,158.0899963,158.0599976,158.0700073,1,-0.006539982,0,158.1461244,158.101001,158.0558776,158.168686,158.101001,158.0333159,,
2/20/2018 7:28,158.0700073,158.0800018,158.0599976,158.0599976,1,-0.009456716,0,158.148422,158.0970001,158.0455783,158.1741329,158.0970001,158.0198673,,
2/20/2018 7:29,158.0700073,158.0700073,158.0599976,158.0599976,1,-0.011634137,0,158.1503197,158.0949997,158.0396797,158.1779797,158.0949997,158.0120197,,
2/20/2018 7:30,158.0599976,158.0700073,158.0500031,158.0599976,1,-0.013207511,0,158.1511974,158.0919998,158.0328023,158.1807961,158.0919998,158.0032035,,
2/20/2018 7:31,158.0599976,158.0700073,158.0599976,158.0700073,1,-0.013491199,0,158.1506658,158.0900009,158.029336,158.1809983,158.0900009,157.9990036,,
2/20/2018 7:32,158.0700073,158.0700073,158.0399933,158.0399933,1,-0.015953998,0,158.1526802,158.0850006,158.0173211,158.1865199,158.0850006,157.9834813,,
2/20/2018 7:33,158.0399933,158.0500031,158.0099945,158.0099945,1,-0.020094795,0,158.1467873,158.0729996,157.9992118,158.1836812,158.0729996,157.9623179,,
2/20/2018 7:34,158.0099945,158.0200043,158,158.0099945,1,-0.023110008,-0.023110008,158.1328076,158.0609985,157.9891894,158.1687122,158.0609985,157.9532849,,
2/20/2018 7:35,158.0099945,158.0299988,157.9900055,158,2,-0.026006275,-0.022462373,158.1050023,158.0469986,157.9889949,158.1340042,158.0469986,157.959993,,
2/20/2018 7:36,157.9900055,158,157.9799957,157.9900055,1,-0.028776345,-0.023508428,158.096365,158.0369995,157.977634,158.1260478,158.0369995,157.9479512,,
2/20/2018 7:37,157.9900055,157.9900055,157.9600067,157.9900055,1,-0.030618692,-0.025922131,158.0899569,158.0289993,157.9680418,158.1204357,158.0289993,157.937563,,
2/20/2018 7:38,157.9799957,158,157.9700012,157.9799957,2,-0.032511696,-0.028686399,158.0845286,158.0209991,157.9574696,158.1162934,158.0209991,157.9257049,,
2/20/2018 7:39,157.9799957,158,157.9799957,158,3,-0.032028532,-0.031064565,158.0738215,158.0149994,157.9561773,158.1032326,158.0149994,157.9267662,,
2/20/2018 7:40,158,158,157.9799957,157.9900055,3,-0.03208227,-0.033364472,158.0600005,158.0080002,157.9559999,158.0860006,158.0080002,157.9299997,,
2/20/2018 7:41,157.9900055,157.9900055,157.9799957,157.9900055,3,-0.031758762,-0.035601771,158.0322427,158,157.9677573,158.048364,158,157.951636,,
2/20/2018 7:42,157.9900055,157.9900055,157.9900055,157.9900055,3,-0.031143379,-0.037788985,158.0134351,157.9950012,157.9765673,158.0226521,157.9950012,157.9673503,,
2/20/2018 7:43,157.9900055,157.9900055,157.9700012,157.9799957,3,-0.03110483,-0.040192791,158.0094358,157.9920013,157.9745669,158.018153,157.9920013,157.9658497,,
2/20/2018 7:44,157.9900055,158.0099945,157.9900055,158.0099945,5,-0.028327092,-0.041923418,158.0094358,157.9920013,157.9745669,158.018153,157.9920013,157.9658497,,
2/20/2018 7:45,158.0099945,158.0099945,158,158,5,-0.026625268,-0.042859096,158.0094358,157.9920013,157.9745669,158.018153,157.9920013,157.9658497,,
2/20/2018 7:46,158,158,157.9799957,157.9900055,3,-0.025785792,-0.043171629,158.0094358,157.9920013,157.9745669,158.018153,157.9920013,157.9658497,,
2/20/2018 7:47,157.9900055,157.9900055,157.9600067,157.9600067,1,-0.027227292,-0.043088289,158.0149982,157.9890015,157.9630047,158.0279966,157.9890015,157.9500063,,
2/20/2018 7:48,157.9700012,157.9799957,157.9600067,157.9700012,1,-0.027249107,-0.042431983,158.0159984,157.988002,157.9600056,158.0299966,157.988002,157.9460074,,
2/20/2018 7:49,157.9700012,157.9799957,157.9600067,157.9700012,1,-0.026955667,-0.041009545,158.0136348,157.9850021,157.9563694,158.0279512,157.9850021,157.9420531,,
2/20/2018 7:50,157.9700012,157.9799957,157.9700012,157.9799957,2,-0.025621295,-0.038717678,158.012564,157.9840012,157.9554383,158.0268454,157.9840012,157.9411569,,
2/20/2018 7:51,157.9900055,158,157.9799957,158,4,-0.022688084,-0.035807266,158.0149974,157.9850006,157.9550039,158.0299957,157.9850006,157.9400055,,
2/20/2018 7:52,158,158,157.9900055,157.9900055,3,-0.020928712,-0.032709776,158.0149974,157.9850006,157.9550039,158.0299957,157.9850006,157.9400055,,
2/20/2018 7:53,157.9900055,157.9900055,157.9799957,157.9799957,3,-0.020110284,-0.029706217,158.0149974,157.9850006,157.9550039,158.0299957,157.9850006,157.9400055,,
2/20/2018 7:54,157.9799957,157.9799957,157.9700012,157.9700012,2,-0.02003717,-0.026944494,158.0070001,157.9810013,157.9550024,158.0199996,157.9810013,157.942003,,
2/20/2018 7:55,157.9600067,157.9700012,157.9400024,157.9499969,1,-0.021347326,-0.024388937,158.0045677,157.976001,157.9474343,158.018851,157.976001,157.9331509,,
